case_id,mapping_name,source_api,target_api,source_field,target_field,status,message
case_001,mapping_001,old_order_api,new_order_summary_api,order.id,summary.orderId,FAIL,Missing object key: order
case_001,mapping_002,old_customer_api,new_profile_api,data.contact.address.district,profile.contact.primaryAddress.district,FAIL,Missing object key: data
case_001,mapping_003,old_customer_api,new_profile_api,data.contact.address.city,profile.contact.primaryAddress.city,FAIL,Missing object key: data
case_001,mapping_004,old_customer_api,new_profile_api,data.customer_id,profile.identity.id,FAIL,Missing object key: data
case_001,mapping_005,old_customer_api,new_profile_api,data.birth_date,profile.identity.birthDate,FAIL,Missing object key: data
case_001,mapping_006,old_customer_api,new_profile_api,data.customer_name,profile.identity.fullName,FAIL,Missing object key: data
case_001,mapping_007,old_customer_api,new_profile_api,data.contact.email,profile.contact.emailAddress,FAIL,Missing object key: data
case_001,mapping_008,old_customer_api,new_profile_api,data.english_name,profile.identity.displayName,FAIL,Missing object key: data
case_001,mapping_009,old_order_api,new_order_summary_api,order.items[0].sku,summary.lines[0].productCode,FAIL,Missing object key: order
case_001,mapping_010,old_order_api,new_order_summary_api,order.items[1].sku,summary.lines[1].productCode,FAIL,Missing object key: order
case_001,mapping_011,old_order_api,new_order_summary_api,order.items[0].price,summary.lines[0].unitPrice,FAIL,Missing object key: order
case_001,mapping_012,old_customer_api,new_profile_api,data.vip,profile.flags.isVip,FAIL,Missing object key: data
case_001,mapping_013,old_order_api,new_order_summary_api,order.currency,summary.payment.currencyCode,FAIL,Missing object key: order
case_001,mapping_014,old_order_api,new_order_summary_api,order.items[0].title,summary.lines[0].productName,FAIL,Missing object key: order
case_001,mapping_015,old_order_api,new_order_summary_api,order.total_amount,summary.payment.total,FAIL,Missing object key: order
case_001,mapping_017,old_order_api,new_order_summary_api,order.created_at,summary.placedDate,FAIL,Missing object key: order
case_002,mapping_001,old_order_api,new_order_summary_api,order.id,summary.orderId,FAIL,Missing object key: order
case_002,mapping_002,old_customer_api,new_profile_api,data.contact.address.district,profile.contact.primaryAddress.district,FAIL,Missing object key: data
case_002,mapping_003,old_customer_api,new_profile_api,data.contact.address.city,profile.contact.primaryAddress.city,FAIL,Missing object key: data
case_002,mapping_004,old_customer_api,new_profile_api,data.customer_id,profile.identity.id,FAIL,Missing object key: data
case_002,mapping_005,old_customer_api,new_profile_api,data.birth_date,profile.identity.birthDate,FAIL,Missing object key: data
case_002,mapping_006,old_customer_api,new_profile_api,data.customer_name,profile.identity.fullName,FAIL,Missing object key: data
case_002,mapping_007,old_customer_api,new_profile_api,data.contact.email,profile.contact.emailAddress,FAIL,Missing object key: data
case_002,mapping_008,old_customer_api,new_profile_api,data.english_name,profile.identity.displayName,FAIL,Missing object key: data
case_002,mapping_009,old_order_api,new_order_summary_api,order.items[0].sku,summary.lines[0].productCode,FAIL,Missing object key: order
case_002,mapping_010,old_order_api,new_order_summary_api,order.items[1].sku,summary.lines[1].productCode,FAIL,Missing object key: order
case_002,mapping_011,old_order_api,new_order_summary_api,order.items[0].price,summary.lines[0].unitPrice,FAIL,Missing object key: order
case_002,mapping_012,old_customer_api,new_profile_api,data.vip,profile.flags.isVip,FAIL,Missing object key: data
case_002,mapping_013,old_order_api,new_order_summary_api,order.currency,summary.payment.currencyCode,FAIL,Missing object key: order
case_002,mapping_014,old_order_api,new_order_summary_api,order.items[0].title,summary.lines[0].productName,FAIL,Missing object key: order
case_002,mapping_015,old_order_api,new_order_summary_api,order.total_amount,summary.payment.total,FAIL,Missing object key: order
case_002,mapping_017,old_order_api,new_order_summary_api,order.created_at,summary.placedDate,FAIL,Missing object key: order
